Device_Vendor,Device_Product,Device_Action,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Country_Src,Bytes_TRF
CISCO,ASA,Success,223.70.128.61,56.137.121.203,21,593,TCP,Korea,0
McAfee,ePO,Failure,223.70.128.61,145.114.4.203,80,593,TCP,United Kingdom,56
Palo Alto Networks,Firewall,Attempt,223.70.128.61,32.73.26.223,21,25,TCP,Korea,0
McAfee,NSP,Success,174.110.206.174,32.73.26.223,135,25,UDP,Korea,63
IBM,SNIPS,Attempt,174.110.206.174,56.137.121.203,80,20000,TCP,Netherlands,216
CISCO,ASA,Success,89.130.69.91,145.114.4.203,80,80,UDP,United Kingdom,399
McAfee,NSP,Attempt,223.70.128.61,56.137.121.203,113,25,TCP,China,0
McAfee,ePO,Attempt,174.110.206.174,145.114.4.203,21,90,TCP,Russia,0
CISCO,ASA,Success,227.12.127.87,32.73.26.223,25,90,TCP,US,0
Juniper,SRX,Failure,174.110.206.174,145.114.4.203,135,90,UDP,Korea,57
McAfee,NSP,Success,28.9.24.154,56.137.121.203,135,593,TCP,Russia,153
Juniper,SRX,Success,28.9.24.154,219.142.109.8,21,80,UDP,Korea,216
IBM,SNIPS,Success,28.9.24.154,219.142.109.8,113,25,TCP,China,0
Palo Alto Networks,Firewall,Success,89.130.69.91,56.137.121.203,21,80,UDP,Korea,0
Palo Alto Networks,Firewall,Success,89.130.69.91,145.114.4.203,21,25,TCP,Russia,108
IBM,SNIPS,Failure,174.110.206.174,151.194.233.198,80,80,TCP,India,189
CISCO,ASA,Attempt,223.70.128.61,219.142.109.8,113,90,TCP,China,0
CISCO,ASA,Success,223.70.128.61,219.142.109.8,113,25,UDP,Russia,169
Juniper,SRX,Attempt,89.130.69.91,151.194.233.198,113,80,TCP,India,576
McAfee,NSP,Attempt,223.70.128.61,219.142.109.8,80,593,UDP,Korea,0
McAfee,NSP,Failure,89.130.69.91,219.142.109.8,21,20000,UDP,US,399
McAfee,NSP,Failure,89.130.69.91,151.194.233.198,21,25,TCP,China,102
CISCO,ASA,Attempt,89.130.69.91,56.137.121.203,25,20000,TCP,Russia,0
McAfee,ePO,Failure,28.9.24.154,145.114.4.203,25,25,UDP,United Kingdom,60
CISCO,ASA,Failure,174.110.206.174,219.142.109.8,135,20000,TCP,Korea,264
IBM,SNIPS,Attempt,227.12.127.87,151.194.233.198,135,80,TCP,Netherlands,252
IBM,SNIPS,Attempt,174.110.206.174,151.194.233.198,25,25,UDP,US,200
Juniper,SRX,Attempt,227.12.127.87,151.194.233.198,135,90,UDP,India,0
McAfee,ePO,Attempt,227.12.127.87,151.194.233.198,113,593,TCP,India,0
McAfee,NSP,Attempt,89.130.69.91,145.114.4.203,21,593,TCP,India,260
IBM,SNIPS,Success,174.110.206.174,145.114.4.203,21,20000,UDP,US,180
CISCO,ASA,Success,89.130.69.91,151.194.233.198,80,80,UDP,India,184
IBM,SNIPS,Failure,89.130.69.91,32.73.26.223,80,90,TCP,China,70
Juniper,SRX,Attempt,227.12.127.87,151.194.233.198,21,20000,UDP,China,192
Juniper,SRX,Failure,227.12.127.87,219.142.109.8,25,593,UDP,US,396
McAfee,ePO,Failure,223.70.128.61,145.114.4.203,113,90,UDP,Russia,0
Palo Alto Networks,Firewall,Success,28.9.24.154,219.142.109.8,21,90,UDP,Korea,187
Juniper,SRX,Success,28.9.24.154,151.194.233.198,113,80,TCP,Russia,120
McAfee,NSP,Failure,223.70.128.61,219.142.109.8,135,90,TCP,US,0
Palo Alto Networks,Firewall,Attempt,28.9.24.154,32.73.26.223,21,90,UDP,India,0
McAfee,NSP,Attempt,89.130.69.91,219.142.109.8,25,90,TCP,Russia,132
Juniper,SRX,Attempt,227.12.127.87,32.73.26.223,113,25,TCP,Netherlands,64
Juniper,SRX,Success,223.70.128.61,219.142.109.8,80,80,UDP,China,0
CISCO,ASA,Success,223.70.128.61,32.73.26.223,21,80,UDP,China,72
McAfee,ePO,Attempt,227.12.127.87,56.137.121.203,135,80,UDP,Russia,88
IBM,SNIPS,Success,28.9.24.154,32.73.26.223,135,593,TCP,United Kingdom,322
Juniper,SRX,Attempt,223.70.128.61,56.137.121.203,25,90,UDP,Netherlands,0
McAfee,ePO,Success,174.110.206.174,151.194.233.198,135,25,TCP,United Kingdom,0
IBM,SNIPS,Attempt,89.130.69.91,32.73.26.223,21,593,UDP,India,0
McAfee,NSP,Success,227.12.127.87,151.194.233.198,80,90,UDP,India,0
CISCO,ASA,Success,223.70.128.61,56.137.121.203,80,593,TCP,China,0
McAfee,ePO,Success,28.9.24.154,151.194.233.198,80,593,UDP,India,102
CISCO,ASA,Attempt,174.110.206.174,145.114.4.203,25,20000,TCP,China,0
Palo Alto Networks,Firewall,Failure,28.9.24.154,151.194.233.198,21,25,UDP,United Kingdom,0
McAfee,ePO,Failure,227.12.127.87,219.142.109.8,135,20000,UDP,Korea,234
Palo Alto Networks,Firewall,Failure,89.130.69.91,151.194.233.198,113,80,TCP,India,96
McAfee,ePO,Success,174.110.206.174,219.142.109.8,135,80,TCP,Korea,200
CISCO,ASA,Attempt,223.70.128.61,145.114.4.203,25,25,TCP,China,136
CISCO,ASA,Success,89.130.69.91,145.114.4.203,113,20000,TCP,China,76
Palo Alto Networks,Firewall,Attempt,174.110.206.174,56.137.121.203,21,593,TCP,China,0
Juniper,SRX,Failure,89.130.69.91,56.137.121.203,135,80,TCP,India,0
Palo Alto Networks,Firewall,Failure,174.110.206.174,219.142.109.8,80,593,TCP,Russia,0
Palo Alto Networks,Firewall,Success,174.110.206.174,151.194.233.198,80,80,UDP,Netherlands,220
Palo Alto Networks,Firewall,Success,227.12.127.87,56.137.121.203,21,80,TCP,US,0
CISCO,ASA,Success,89.130.69.91,32.73.26.223,80,20000,UDP,China,0
McAfee,NSP,Failure,89.130.69.91,56.137.121.203,21,20000,TCP,Korea,77
Juniper,SRX,Success,28.9.24.154,151.194.233.198,21,20000,UDP,China,168
Juniper,SRX,Attempt,227.12.127.87,219.142.109.8,113,25,UDP,Russia,64
McAfee,NSP,Attempt,174.110.206.174,219.142.109.8,135,20000,UDP,India,161
IBM,SNIPS,Attempt,223.70.128.61,56.137.121.203,80,25,TCP,Netherlands,136
McAfee,NSP,Attempt,28.9.24.154,145.114.4.203,113,80,UDP,Netherlands,0
IBM,SNIPS,Attempt,227.12.127.87,151.194.233.198,113,25,UDP,Netherlands,200
Palo Alto Networks,Firewall,Success,89.130.69.91,32.73.26.223,135,25,TCP,United Kingdom,230
McAfee,NSP,Failure,223.70.128.61,32.73.26.223,80,20000,UDP,United Kingdom,161
McAfee,NSP,Attempt,89.130.69.91,56.137.121.203,135,20000,TCP,India,0
Palo Alto Networks,Firewall,Success,89.130.69.91,151.194.233.198,25,25,TCP,US,0
IBM,SNIPS,Attempt,174.110.206.174,145.114.4.203,135,20000,TCP,United Kingdom,156
IBM,SNIPS,Success,174.110.206.174,32.73.26.223,25,80,TCP,United Kingdom,432
McAfee,NSP,Failure,174.110.206.174,151.194.233.198,25,90,TCP,United Kingdom,408
McAfee,NSP,Success,227.12.127.87,219.142.109.8,113,80,UDP,US,126
IBM,SNIPS,Success,227.12.127.87,219.142.109.8,21,80,UDP,United Kingdom,66
Palo Alto Networks,Firewall,Attempt,174.110.206.174,145.114.4.203,80,20000,TCP,Netherlands,52
Palo Alto Networks,Firewall,Attempt,28.9.24.154,145.114.4.203,135,25,UDP,Netherlands,0
McAfee,ePO,Attempt,89.130.69.91,56.137.121.203,113,25,TCP,Russia,0
Juniper,SRX,Failure,89.130.69.91,219.142.109.8,80,25,UDP,Netherlands,350
CISCO,ASA,Attempt,223.70.128.61,151.194.233.198,113,25,UDP,Korea,126
Palo Alto Networks,Firewall,Failure,174.110.206.174,32.73.26.223,80,25,TCP,Netherlands,0
McAfee,NSP,Success,223.70.128.61,145.114.4.203,21,593,TCP,United Kingdom,216
McAfee,ePO,Failure,227.12.127.87,151.194.233.198,113,593,TCP,China,80
Juniper,SRX,Attempt,223.70.128.61,32.73.26.223,135,90,UDP,Korea,75
McAfee,ePO,Failure,174.110.206.174,145.114.4.203,113,80,UDP,Netherlands,68
Palo Alto Networks,Firewall,Attempt,227.12.127.87,32.73.26.223,25,25,UDP,Korea,425
McAfee,NSP,Success,28.9.24.154,32.73.26.223,80,593,TCP,US,528
Palo Alto Networks,Firewall,Success,89.130.69.91,151.194.233.198,21,593,UDP,US,60
CISCO,ASA,Success,174.110.206.174,219.142.109.8,21,80,UDP,US,147
CISCO,ASA,Failure,227.12.127.87,151.194.233.198,135,25,UDP,China,253
Juniper,SRX,Attempt,227.12.127.87,32.73.26.223,21,593,UDP,United Kingdom,0
Juniper,SRX,Attempt,223.70.128.61,32.73.26.223,25,593,UDP,Netherlands,0
CISCO,ASA,Attempt,174.110.206.174,219.142.109.8,135,90,TCP,India,336
CISCO,ASA,Success,89.130.69.91,219.142.109.8,135,80,TCP,India,192
IBM,SNIPS,Attempt,89.130.69.91,32.73.26.223,25,90,UDP,US,550
Palo Alto Networks,Firewall,Failure,174.110.206.174,151.194.233.198,135,80,UDP,Russia,120
CISCO,ASA,Success,223.70.128.61,145.114.4.203,80,25,TCP,Korea,117
McAfee,ePO,Attempt,174.110.206.174,219.142.109.8,21,20000,TCP,Netherlands,55
IBM,SNIPS,Attempt,223.70.128.61,151.194.233.198,25,593,TCP,Korea,189
CISCO,ASA,Success,223.70.128.61,151.194.233.198,113,90,TCP,Netherlands,0
IBM,SNIPS,Attempt,174.110.206.174,151.194.233.198,21,25,UDP,China,0
IBM,SNIPS,Attempt,223.70.128.61,145.114.4.203,113,90,UDP,US,0
McAfee,NSP,Attempt,223.70.128.61,151.194.233.198,21,90,TCP,Korea,304
Juniper,SRX,Success,227.12.127.87,219.142.109.8,80,90,UDP,United Kingdom,0
CISCO,ASA,Attempt,28.9.24.154,32.73.26.223,113,90,TCP,United Kingdom,276
CISCO,ASA,Success,28.9.24.154,56.137.121.203,113,80,TCP,US,90
McAfee,NSP,Success,89.130.69.91,219.142.109.8,113,90,UDP,India,121
IBM,SNIPS,Attempt,89.130.69.91,56.137.121.203,135,593,UDP,Korea,60
McAfee,NSP,Failure,227.12.127.87,151.194.233.198,135,80,UDP,Korea,180
IBM,SNIPS,Success,223.70.128.61,219.142.109.8,113,25,UDP,Russia,450
McAfee,NSP,Success,174.110.206.174,151.194.233.198,80,20000,TCP,India,550
Juniper,SRX,Failure,223.70.128.61,32.73.26.223,135,593,TCP,United Kingdom,288
Juniper,SRX,Failure,28.9.24.154,219.142.109.8,135,20000,TCP,US,96
Palo Alto Networks,Firewall,Attempt,89.130.69.91,32.73.26.223,135,593,TCP,Netherlands,189
Juniper,SRX,Failure,28.9.24.154,151.194.233.198,113,90,UDP,Netherlands,175
CISCO,ASA,Success,28.9.24.154,145.114.4.203,25,593,UDP,United Kingdom,210
IBM,SNIPS,Success,227.12.127.87,151.194.233.198,135,20000,TCP,US,105
Juniper,SRX,Attempt,28.9.24.154,145.114.4.203,80,90,UDP,China,112
IBM,SNIPS,Success,227.12.127.87,219.142.109.8,113,20000,UDP,Korea,322
Juniper,SRX,Attempt,174.110.206.174,56.137.121.203,80,20000,TCP,United Kingdom,234
IBM,SNIPS,Success,28.9.24.154,219.142.109.8,135,593,TCP,India,168
McAfee,ePO,Success,227.12.127.87,56.137.121.203,80,90,UDP,China,187
McAfee,ePO,Attempt,223.70.128.61,219.142.109.8,21,80,UDP,Netherlands,0
McAfee,ePO,Success,89.130.69.91,145.114.4.203,21,20000,TCP,India,0
McAfee,NSP,Attempt,227.12.127.87,32.73.26.223,25,90,TCP,Netherlands,196
CISCO,ASA,Failure,28.9.24.154,56.137.121.203,113,90,TCP,Korea,576
Palo Alto Networks,Firewall,Success,227.12.127.87,32.73.26.223,135,80,TCP,Netherlands,0
CISCO,ASA,Success,227.12.127.87,219.142.109.8,135,593,UDP,Russia,384
McAfee,ePO,Success,89.130.69.91,145.114.4.203,25,20000,UDP,China,90
CISCO,ASA,Attempt,227.12.127.87,145.114.4.203,25,25,TCP,China,0
Juniper,SRX,Failure,174.110.206.174,151.194.233.198,25,80,UDP,China,0
Palo Alto Networks,Firewall,Success,227.12.127.87,56.137.121.203,25,80,UDP,US,288
Palo Alto Networks,Firewall,Attempt,223.70.128.61,56.137.121.203,21,25,UDP,Korea,85
IBM,SNIPS,Attempt,89.130.69.91,219.142.109.8,25,25,UDP,India,88
McAfee,ePO,Attempt,89.130.69.91,56.137.121.203,25,20000,TCP,Netherlands,0
McAfee,NSP,Success,28.9.24.154,32.73.26.223,135,90,TCP,China,0
McAfee,ePO,Attempt,89.130.69.91,219.142.109.8,113,80,TCP,US,0
Palo Alto Networks,Firewall,Failure,28.9.24.154,219.142.109.8,113,25,UDP,Netherlands,105
Palo Alto Networks,Firewall,Attempt,174.110.206.174,56.137.121.203,80,20000,TCP,India,75
Juniper,SRX,Success,174.110.206.174,32.73.26.223,113,25,UDP,US,300
IBM,SNIPS,Failure,174.110.206.174,219.142.109.8,25,25,UDP,United Kingdom,208
Juniper,SRX,Attempt,89.130.69.91,145.114.4.203,80,25,UDP,Netherlands,100
McAfee,ePO,Success,28.9.24.154,151.194.233.198,25,593,TCP,Korea,90
McAfee,ePO,Failure,223.70.128.61,151.194.233.198,21,20000,TCP,India,345
Juniper,SRX,Attempt,89.130.69.91,219.142.109.8,113,593,TCP,China,80
IBM,SNIPS,Success,28.9.24.154,56.137.121.203,135,20000,UDP,China,285
CISCO,ASA,Success,28.9.24.154,145.114.4.203,80,80,UDP,Russia,138
McAfee,NSP,Failure,174.110.206.174,32.73.26.223,80,25,TCP,Netherlands,0
IBM,SNIPS,Failure,28.9.24.154,145.114.4.203,25,20000,UDP,Netherlands,0
Palo Alto Networks,Firewall,Attempt,227.12.127.87,219.142.109.8,21,90,TCP,India,147
CISCO,ASA,Failure,174.110.206.174,56.137.121.203,135,80,TCP,Netherlands,208
Palo Alto Networks,Firewall,Failure,89.130.69.91,219.142.109.8,135,90,UDP,Russia,0
IBM,SNIPS,Success,28.9.24.154,145.114.4.203,135,80,UDP,Korea,0
IBM,SNIPS,Attempt,89.130.69.91,32.73.26.223,25,593,TCP,Korea,260
Palo Alto Networks,Firewall,Attempt,223.70.128.61,56.137.121.203,80,90,UDP,Korea,225
Juniper,SRX,Failure,227.12.127.87,151.194.233.198,113,20000,UDP,US,231
IBM,SNIPS,Attempt,227.12.127.87,56.137.121.203,25,80,UDP,Netherlands,208
CISCO,ASA,Failure,227.12.127.87,219.142.109.8,21,80,UDP,Russia,204
McAfee,NSP,Success,89.130.69.91,56.137.121.203,80,80,TCP,Netherlands,400
CISCO,ASA,Attempt,174.110.206.174,151.194.233.198,21,90,TCP,Russia,160
McAfee,ePO,Success,28.9.24.154,219.142.109.8,113,20000,UDP,United Kingdom,55
CISCO,ASA,Failure,28.9.24.154,56.137.121.203,135,593,TCP,China,0
McAfee,NSP,Attempt,174.110.206.174,145.114.4.203,113,25,TCP,United Kingdom,80
Juniper,SRX,Failure,227.12.127.87,151.194.233.198,21,25,UDP,US,0
McAfee,NSP,Failure,223.70.128.61,32.73.26.223,21,25,TCP,Russia,66
Juniper,SRX,Failure,227.12.127.87,56.137.121.203,80,593,TCP,Netherlands,150
IBM,SNIPS,Failure,174.110.206.174,219.142.109.8,25,20000,UDP,Netherlands,0
McAfee,ePO,Success,227.12.127.87,145.114.4.203,135,80,TCP,Russia,0
IBM,SNIPS,Attempt,28.9.24.154,145.114.4.203,135,90,UDP,Russia,450
McAfee,NSP,Attempt,227.12.127.87,219.142.109.8,113,593,UDP,Korea,144
Palo Alto Networks,Firewall,Failure,223.70.128.61,56.137.121.203,25,593,UDP,India,0
CISCO,ASA,Success,174.110.206.174,219.142.109.8,25,25,UDP,United Kingdom,0
IBM,SNIPS,Failure,227.12.127.87,219.142.109.8,135,20000,TCP,US,72
IBM,SNIPS,Attempt,89.130.69.91,151.194.233.198,135,20000,UDP,US,160
Juniper,SRX,Failure,174.110.206.174,32.73.26.223,135,80,TCP,US,91
Juniper,SRX,Failure,174.110.206.174,151.194.233.198,135,25,TCP,China,0
IBM,SNIPS,Failure,174.110.206.174,151.194.233.198,25,593,TCP,Russia,0
Palo Alto Networks,Firewall,Attempt,223.70.128.61,56.137.121.203,80,25,TCP,Korea,575
Palo Alto Networks,Firewall,Success,174.110.206.174,56.137.121.203,21,90,TCP,Russia,336
Juniper,SRX,Attempt,28.9.24.154,145.114.4.203,113,593,TCP,US,75
CISCO,ASA,Attempt,227.12.127.87,56.137.121.203,21,90,TCP,United Kingdom,330
Palo Alto Networks,Firewall,Success,174.110.206.174,219.142.109.8,25,25,TCP,China,0
Palo Alto Networks,Firewall,Success,89.130.69.91,32.73.26.223,113,90,UDP,India,70
Palo Alto Networks,Firewall,Failure,223.70.128.61,219.142.109.8,135,20000,TCP,India,171
Palo Alto Networks,Firewall,Failure,174.110.206.174,151.194.233.198,21,20000,TCP,Russia,504
McAfee,NSP,Attempt,28.9.24.154,56.137.121.203,25,593,UDP,United Kingdom,234
IBM,SNIPS,Attempt,227.12.127.87,56.137.121.203,21,20000,UDP,Korea,0
Palo Alto Networks,Firewall,Attempt,89.130.69.91,56.137.121.203,25,20000,TCP,United Kingdom,85
McAfee,ePO,Success,223.70.128.61,219.142.109.8,80,25,TCP,Russia,0
Juniper,SRX,Failure,227.12.127.87,56.137.121.203,21,25,TCP,United Kingdom,132
Juniper,SRX,Success,174.110.206.174,145.114.4.203,21,80,TCP,United Kingdom,0
Palo Alto Networks,Firewall,Failure,28.9.24.154,145.114.4.203,80,80,UDP,India,0
McAfee,NSP,Success,28.9.24.154,151.194.233.198,113,20000,UDP,United Kingdom,360
McAfee,NSP,Failure,227.12.127.87,32.73.26.223,25,80,UDP,Netherlands,0
Palo Alto Networks,Firewall,Success,227.12.127.87,151.194.233.198,21,80,UDP,China,506
CISCO,ASA,Success,28.9.24.154,145.114.4.203,113,90,UDP,US,102
McAfee,NSP,Attempt,28.9.24.154,32.73.26.223,21,80,UDP,Netherlands,312
Juniper,SRX,Failure,28.9.24.154,56.137.121.203,113,593,TCP,Korea,0
McAfee,ePO,Success,28.9.24.154,56.137.121.203,113,20000,UDP,Russia,184
Juniper,SRX,Success,174.110.206.174,56.137.121.203,80,25,TCP,China,57
Palo Alto Networks,Firewall,Attempt,28.9.24.154,145.114.4.203,21,593,UDP,Korea,0
McAfee,ePO,Failure,227.12.127.87,219.142.109.8,21,90,UDP,Netherlands,253
IBM,SNIPS,Attempt,28.9.24.154,32.73.26.223,113,25,TCP,United Kingdom,275
Palo Alto Networks,Firewall,Attempt,28.9.24.154,32.73.26.223,113,593,TCP,Korea,0
McAfee,NSP,Failure,28.9.24.154,151.194.233.198,25,25,UDP,Korea,264
McAfee,NSP,Failure,174.110.206.174,145.114.4.203,113,90,TCP,Russia,98
IBM,SNIPS,Success,28.9.24.154,151.194.233.198,113,80,TCP,Korea,0
McAfee,ePO,Failure,89.130.69.91,56.137.121.203,21,20000,UDP,Korea,0
Juniper,SRX,Attempt,89.130.69.91,219.142.109.8,25,20000,UDP,United Kingdom,84
Palo Alto Networks,Firewall,Failure,227.12.127.87,151.194.233.198,21,80,TCP,China,294
McAfee,NSP,Success,174.110.206.174,219.142.109.8,25,80,TCP,United Kingdom,0
McAfee,NSP,Failure,227.12.127.87,151.194.233.198,25,20000,TCP,China,225
CISCO,ASA,Failure,89.130.69.91,56.137.121.203,135,20000,UDP,India,132
McAfee,NSP,Failure,174.110.206.174,219.142.109.8,113,80,TCP,US,63
CISCO,ASA,Failure,227.12.127.87,32.73.26.223,113,80,UDP,China,60
Palo Alto Networks,Firewall,Success,227.12.127.87,145.114.4.203,21,80,TCP,Korea,80
McAfee,NSP,Failure,227.12.127.87,145.114.4.203,25,80,TCP,Russia,72
Juniper,SRX,Attempt,174.110.206.174,145.114.4.203,21,593,TCP,Russia,400
McAfee,ePO,Success,28.9.24.154,56.137.121.203,113,593,TCP,US,0
IBM,SNIPS,Success,227.12.127.87,32.73.26.223,25,90,TCP,India,57
Juniper,SRX,Failure,223.70.128.61,151.194.233.198,80,80,TCP,US,231
Juniper,SRX,Failure,174.110.206.174,56.137.121.203,21,90,UDP,United Kingdom,330
IBM,SNIPS,Success,223.70.128.61,56.137.121.203,80,90,TCP,US,120
McAfee,NSP,Success,223.70.128.61,219.142.109.8,21,80,TCP,Korea,133
McAfee,ePO,Failure,28.9.24.154,219.142.109.8,25,80,TCP,Netherlands,440
McAfee,ePO,Attempt,174.110.206.174,56.137.121.203,135,25,UDP,China,400
CISCO,ASA,Failure,227.12.127.87,56.137.121.203,113,90,UDP,Korea,175
McAfee,NSP,Failure,227.12.127.87,32.73.26.223,113,90,UDP,United Kingdom,208
McAfee,ePO,Success,28.9.24.154,145.114.4.203,80,593,TCP,Netherlands,306
McAfee,ePO,Success,89.130.69.91,145.114.4.203,21,90,UDP,Netherlands,396
Palo Alto Networks,Firewall,Success,223.70.128.61,32.73.26.223,113,25,UDP,Netherlands,0
Juniper,SRX,Failure,89.130.69.91,32.73.26.223,113,80,TCP,United Kingdom,80
McAfee,NSP,Success,223.70.128.61,151.194.233.198,21,20000,UDP,Korea,0
IBM,SNIPS,Attempt,28.9.24.154,32.73.26.223,25,80,UDP,Korea,84
McAfee,ePO,Attempt,223.70.128.61,151.194.233.198,135,90,TCP,United Kingdom,384
McAfee,ePO,Failure,174.110.206.174,32.73.26.223,135,90,TCP,US,187
McAfee,ePO,Attempt,223.70.128.61,32.73.26.223,80,25,TCP,China,0
IBM,SNIPS,Attempt,89.130.69.91,219.142.109.8,135,20000,UDP,US,64
Palo Alto Networks,Firewall,Failure,227.12.127.87,32.73.26.223,25,20000,UDP,India,273
Palo Alto Networks,Firewall,Attempt,89.130.69.91,145.114.4.203,25,20000,TCP,US,72
Juniper,SRX,Attempt,174.110.206.174,32.73.26.223,25,25,TCP,Korea,64
McAfee,ePO,Success,227.12.127.87,219.142.109.8,21,25,UDP,US,100
Juniper,SRX,Failure,227.12.127.87,145.114.4.203,80,593,TCP,India,228
McAfee,ePO,Success,28.9.24.154,145.114.4.203,135,593,UDP,Korea,504
McAfee,ePO,Attempt,227.12.127.87,145.114.4.203,113,593,UDP,Netherlands,0
Palo Alto Networks,Firewall,Success,223.70.128.61,219.142.109.8,25,593,TCP,Netherlands,0
